ProductID,Product Name,SubCategoryID,Unit Price
1,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",1,10
2,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",1,20
3,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",1,30
4,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",1,40
5,Bestar Classic Bookcase,1,41
6,"Bush Andora Bookcase, Maple/Graphite Gray Finish",1,42
7,"Bush Birmingham Collection Bookcase, Dark Cherry",1,43
8,"Bush Cubix Collection Bookcases, Fully Assembled",1,44
9,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",1,45
10,Bush Mission Pointe Library,1,46
11,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",1,47
12,Bush Somerset Collection Bookcase,1,48
13,"Bush Westfield Collection Bookcases, Dark Cherry Finish",1,49
14,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",1,50
15,"Bush Westfield Collection Bookcases, Fully Assembled",1,51
16,"Bush Westfield Collection Bookcases, Medium Cherry Finish",1,52
17,DMI Eclipse Executive Suite Bookcases,1,53
18,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",1,54
19,Hon 4-Shelf Metal Bookcases,1,55
20,"Hon Metal Bookcases, Black",1,56
21,"Hon Metal Bookcases, Gray",1,57
22,"Hon Metal Bookcases, Putty",1,58
23,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,1,59
24,O'Sullivan 2-Shelf Heavy-Duty Bookcases,1,60
25,O'Sullivan 3-Shelf Heavy-Duty Bookcases,1,61
26,O'Sullivan 4-Shelf Bookcase in Odessa Pine,1,62
27,O'Sullivan 5-Shelf Heavy-Duty Bookcases,1,63
28,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,1,64
29,O'Sullivan Cherrywood Estates Traditional Bookcase,1,65
30,"O'Sullivan Elevations Bookcase, Cherry Finish",1,66
31,O'Sullivan Living Dimensions 2-Shelf Bookcases,1,67
32,O'Sullivan Living Dimensions 3-Shelf Bookcases,1,68
33,O'Sullivan Living Dimensions 5-Shelf Bookcases,1,69
34,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,1,70
35,O'Sullivan Plantations 2-Door Library in Landvery Oak,1,71
36,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",1,72
37,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",1,73
38,Rush Hierlooms Collection Rich Wood Bookcases,1,74
39,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",1,75
40,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",1,76
41,Sauder Barrister Bookcases,1,77
42,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",1,78
43,"Sauder Camden County Collection Libraries, Planked Cherry Finish",1,79
44,Sauder Camden County Collection Library,1,80
45,Sauder Cornerstone Collection Library,1,81
46,"Sauder Facets Collection Library, Sky Alder Finish",1,82
47,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",1,83
48,"Sauder Forest Hills Library, Woodland Oak Finish",1,84
49,Sauder Inglewood Library Bookcases,1,85
50,"Sauder Mission Library with Doors, Fruitwood Finish",1,86
51,Bevis Steel Folding Chairs,2,87
52,DMI Arturo Collection Mission-style Design Wood Chair,2,88
53,"Global Airflow Leather Mesh Back Chair, Black",2,89
54,"Global Armless Task Chair, Royal Blue",2,90
55,Global Chrome Stack Chair,2,91
56,Global Comet Stacking Arm Chair,2,92
57,Global Comet Stacking Armless Chair,2,93
58,Global Commerce Series High-Back Swivel/Tilt Chairs,2,94
59,Global Commerce Series Low-Back Swivel/Tilt Chairs,2,95
60,Global Deluxe High-Back Manager's Chair,2,96
61,Global Deluxe High-Back Office Chair in Storm,2,97
62,Global Deluxe Office Fabric Chairs,2,98
63,"Global Deluxe Stacking Chair, Gray",2,99
64,Global Deluxe Steno Chair,2,100
65,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,2,101
66,Global Enterprise Series Seating Low-Back Swivel/Tilt Chairs,2,102
67,Global Ergonomic Managers Chair,2,103
68,Global Executive Mid-Back Manager's Chair,2,104
69,"Global Fabric Manager's Chair, Dark Gray",2,105
70,"Global Geo Office Task Chair, Gray",2,106
71,Global Highback Leather Tilter in Burgundy,2,107
72,"Global High-Back Leather Tilter, Burgundy",2,108
73,Global Italian Leather Office Chair,2,109
